,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
292,Earthquake (Ground Movement),Earthquake,2004-10-11 00:00:00,,,Region 3|4|NCR,Ground Movement,PHIVOLCS,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 6.2 Tagaytay City,"No damage reported, should this be included?",,2004-10-11,2004-10-11,dda82a07fef14e0bb3b466a616e9256a
293,Earthquake (Ground Movement),Earthquake,2004-10-11 00:00:00,,,Region 9,Ground Movement,PHIVOLCS,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 5.7 General Santos City,"No damage reported, should this be included?",,2004-10-11,2004-10-11,a89749e083dd4e159b61d49e29ce1078
294,Earthquake (Ground Movement),Earthquake,2004-10-08 00:00:00,,,Region 3|4|NCR,Ground Movement,PHIVOLCS,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 6.2 67 km west of Tagaytay City,"No damage reported, should this be included?",,2004-10-08,2004-10-08,9d39cc559ef3434ca0ef0333dd127147
295,Volcanic Activity (General),Taal Volcano Activity,2004-10-28 00:00:00,14.002,120.993,Region 4,,PHIVOLCS,Alert Level Raised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indication of low-level episode of unrest, Alert level 0 was raised to Alert level 1","No damage reported, should this be included?",,2004-10-28,2004-10-28,47aaf5c9cd234b19bfd1e948c56c2239
297,Human Induced,Brgy Linangtangan Armed Conflict in Maguindanao and Sultan Kudarat,2005-01-01 00:00:00,,,Sultan Kudarat|Maguindanao,,AFP,,,,,,14,27,1,1,2683,13415,1527,7635,9,,,,,,,,,,,,,,,,"850 sacks of rice, 800 packs of goods",,,,,,,,,,,,,,,Armed conlict in Sultan Kudarat and Maguindanao,Summary of armed conflict reports in January 2005,,2005-01-01,2005-01-01,5058fd45ca7a43e5aebbb5a467e7014e
300,Armed Conflict,"Santo Nino Church, Shooting Incident",2005-01-16 00:00:00,11.710538,122.363589," Kalibo, Aklan",,,,,,,,1,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shooting in Kalibo Aklan,,,2005-01-16,2005-01-16,ff6d98621eb948b0a216bb09a58afedc
301,Human Induced,Fire Incident Summary,"January 5-29, 2005",,,Region 4|6|7|NCR,,"BFP, CDAG",3rd to 5th Alarm,,,,,8,5,9,,368,1097,,,222,5,246.4,,,,,,,,,,,"BFP, CDAG, NDCC, Brgy Offices, The Guardian, PSWDP, Kabalikat Civicom, 1st QRRB, AFP, Calauag Reservist Club, ",,,,,,,,,,,,,,,,,,"At least 8 fire incidents were reported in NCR, Cebu, Aklan, Quezon","Summary of all fire events in January 2005, done by CCLit and not from NDCC Report",,2005-01-05,2005-01-29,deb7e73c8a7f46daa26bf2379562de5f
302,Fire (Industrial),"16th floor UCPB Building, Paseo de Roxas cor Makati Ave Fire",2005-01-29 00:00:00,,,Makati City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-29,2005-01-29,5fb49e77a6a9466d9fc924de2f213bdc
303,Fire (Misc),Poblacion Brgy 3 and 4 Fire,2005-01-27 00:00:00,,,"Calauag, Quezon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-27,2005-01-27,29ec9c43b6ef4117beb3e94733ac6f0b
304,Fire (Misc),"Carlos Palanca, P. Nasat Fire",2005-01-25 00:00:00,,,"Quiapo, Manila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-25,2005-01-25,d122df76fac9466db56f4bdd2e62c4c5
305,Fire (Misc),"Scout Tobias, Roces Avenue Fire",2005-01-22 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22,7f83c6f3d75f4578b9d9e0fc2fa8855e
306,Fire (Misc),"Sitio De Asis, San Martin De Porres Service Road Fire",2005-01-22 00:00:00,,,Paranaque City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22,e1214700f914401da7ef4edf35b907fd
307,Fire (Misc),Barrio Tanyag Fire,2005-01-22 00:00:00,,,Taguig City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22,54d5b1f56d60420881917a523d717be1
308,Fire (Misc),"Talipapa Area, Sitio Manggayad Fire",2005-01-21 00:00:00,,,"Brgy Manoc-manoc, Boracay, Aklan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-21,2005-01-21,7c12930d5c024a3eb39df4dca0cfa7b2
309,Fire (Misc),Tabada St Fire,2005-01-21 00:00:00,,,"Brgy Mambaling, Cebu City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-21,2005-01-21,25ec6b6697cb40318426821260092e9e
310,Fire (Misc),"Don Antonio Heights, Brgy Holy Spirit Fire",2005-01-18 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-18,2005-01-18,fa3495c3ce674673aef8456f42a21101
311,Fire (Misc),Decena St cor Libertad Fire,2005-01-15 00:00:00,,,Pasay City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-15,2005-01-15,a2f132a6ba354efa8d16be3c6f782fef
312,Fire (Misc),"Gate 4 Port Area, Borringa St cor Vito Cruz Fire",2005-01-05 00:00:00,,,Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-05,2005-01-05,f2cb60863a374c06adce25e18783a3cd
315,Air,Small Lalaguna Cove Plane Crash,2005-01-16 00:00:00,,,"Brgy Sabang, Puerto Galera, Oriental Mindoro",,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-16,2005-01-16,9fe8059757f54021a31e8610ef7bbad4
316,Water,Coron Pier Sea Mishap (Ship Sunk),2005-01-29 00:00:00,,,"Coron, Palawan",Oil Spill,,,,,,,1,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-29,2005-01-29,4d5cac5f22d84c39a23c11134871148c
317,Road,"Litex Riverside, Brgy Mangahan, Commonwealth Avenue Bus Crash",2005-01-22 00:00:00,,,Quezon City,,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22,1281195099a842b58ccafe10a2f5d225
318,Flash Flood,Flash Floods Summary in Davao Occidental,"January 18-22, 2005",,,Davao Occidental,,PAGASA,Weather Bulletin,,,,,3,1,,,291,,291,,,,0.23,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITCZ brought in several days of heavy rain. ,"January 18, single flash flood drowned 1 person. January 22-24 heavy rains affected 291 families whose homes were flash flooded.",,2005-01-18,2005-01-22,1b0976102fbf4360b1742e842e620c19
319,Flash Flood,Flash Floods Summary in Davao Occidental,2005-01-18 00:00:00,,,"Brgy Tamaoang, Tarragona, Davao Occidental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-18,2005-01-18,7cb91bc94c104c2eac11d9c5d79ba5d2
320,Flash Flood,Flash Floods Summary in Davao Occidental,January 22-24 2005,,,"Baganga, Davao Occidental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-24,20404a1dd9dd40bdb1e79de10aadcf93
321,Rogue Wave,Big Waves in Tawi-tawi,2005-01-02 00:00:00,4.747166,119.406179,"Tawi-tawi, ARMM",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITCZ in Mindanao and tail end of cold front caused strong winds to create huge waves in Sintangkai, Tawitawi","Islands of Bungin and Pondohan afected, fisherment reported killed but no verified reports on casualties and property damage.",,2005-01-02,2005-01-02,e86ff648c81c42b4979ffcb877afe44e
322,Landslide (Dry),"Landslide in St Bernard, Southern Leyte",2006-02-17 00:00:00,10.333333,125.097222,Southern Leyte,,,,,,,,8,156,28,968,3850,18862,1014,3742,375,,92.2,22.6,,,,,,,,,223915387.78,"NDCC, LGU, AFP, DSWD, DOH, DENR, PNRC, PAGASA, DPWH, DILG, DOTC, PCG, DepEd, NGOs","US, India, Taiwan, China, Indonesia, Malaysia, Singapore, Thailand, Japan, Turkey, and Korea Govts, UN, USAID, UNICEF, UNDAC, Unidad Canina de Rescete Y Salvamento (Spain), JICA, IFRCC, OXFAM, FELFSCCAG, AusAID, World Vision, Save the Children, Plan International, Hyundai, KIA, Japan Group of Company, Hanjin Heavy Industries Construction LTD, Japanese Chamber of Commerce Inc, Japanese Association Manila Inc.",,,,,,,,,,,,,,,,NDCC OCD Final Report,"Landslide occured in Brgy Guinsaugon, St Bernard, Southerne Leyte at 10:36 am, 17 February, 2006. There were cracks reported by MGB at slopes prior to landslide, there was two weeks of continuous heavy rain and a magnitude 2.6 earthquake felt prior to the event. A few minutes after the entire barangay was buried by landslide materials (mud, boulders, angular fragments of highly weathered volcanic rocks), and mud and water spurted out of the detached slope. ",Occurence of 53 persons from other Brgys during the occurence of the landslide.,,2006-02-17,2006-02-17,2c1b94d5bf6141dea6360ca815cb1df3
323,Oil Spill,"M/T Solar 1 Oil Spillage, Guimaras",2006-08-11 00:00:00,10.48244,122.474661,Region VI,,,,,,,,65,,11,2,8580,42109,83,342,,,,,1059185,,,,,,Extreme damage to coastline and marine ecosystems,,95047982.4,"NDCC, LGU, MEPCOM, CGDWV, CGOF, PETRON CORP, MARPOL, Malayan, Harbor Star, First Response Inc, PNRC, NTC, PIA, RCDG, MIA, DOH, DENR, CHD, BFAR-DA, PFDA-DA, DSWD, PCG, DOST, UPV, ITOPF, OPARD, WV, Aksyon Radyo, MEPU, FMRSI, PLDT, Mirant Ph, Zuelig, Chevron, Total, Splash Foundation, UniLab Inc, Cleanway Technology Corp, Guard-All Electronic Security Systems Inc, Servicio Filipino, Lockheed Detective and Watchman Agency, Kapuso Foundation, ABS-CBN, Bombo Radyo, Taus Puso","German Technical Cooperation, FAO, Australia Govt, German Development Service Volunteers, IMO, IOPC, P&I Club, UNEP-OCHA UNOSAT, UNICEF, UNDP, Japan Coast Guard, US Coast Guard, NOAA, France Govt",,,1200 rice sacks,,,,,"1,154,77.00",Around 400 residents with illness,,,Anti pollution equipment utilized,"Control spread of oil pollutant and promote welfare of affected ommunities. Shore protecion of uncontaminated resources, shoreline clean up, disposal of waste, bioremediation. Possible relocation of residents. Intensive health campaigns.Integrate spills in contingency plan for emergency disaster preparedness. Integrate health relief and compensation for disease and illness.",,,NDCC OCD Final Report,MT Sorlar 1 (owned by Sunshine Maritime Devt Corp) sank offshore southwest of Luzaran Point Guimaras island. It contained 2 million Liters of industrial fuel (bunker oil). Oil impacted shorelines o,"1,143.43 ha of land and marine area, 305 ha mangroves, 58 ha seaweed farms, 15.8 sq km of coral reefs, 311 km coastline affected by the spillage.",,2006-08-11,2006-08-11,62e2f7cee7444b749e474cbef5da4e8a
324,Miscellaneous Accident (General),IDPs in Mindanao,"August 10, 2008 - July 14, 2009",,,Region 10|12|ARMM,,,,,,,,1368,141,135,,68782,327484,13439,59739,1445,266,99.025,152.566,,,,,,,,,181073031.38,"NDCC, LGU, PCSP, TESDA, DILG, DA, PNP, NEDA, TOG-10, MEDCO, DWSD, UNDP, DOH","UN System, INGOs",,3496667.6,,,,,,2000000,10 units of latrines,,,,"Constructiono of bunkhouses, DepEd implemented alternative learning system Modified In School, Off-School Approach and Advocacy for the Culture of Peace, TESDA Balik Buhay livelihood rehabilitation trainings, DWSD assessment of evacuees",438618,,NDCC OCD Situational Report No. 76,Internally Displaced Populations due to conflict in Mindanao.,"Part of Volume 4, scan of volume not complete.",,2008-08-10,2009-07-14,9483cd87107b467cb7eb66e13fc425ec
325,Volcanic Activity (General),1754 Taal Eruption,"May 13, 1754",14.002,120.993,Batangas,Earthquake (Ground Movement)|Tsunami|Ashfall|Pyroclastic Flow|Lava Flow|Flood (General),,,,,,,,12,,,,,,,Very many,,Extreme,,,,,,,,,,,,,,,,,,,,,,,,,Previous towns that were destroyed relocated to areas farther from the lake shore,,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, National Geographic Vol 23 No 4 April 1912, A synthesis and review of historical eruptions at Taal Volcano, Southern
Luzon, Philippines, Perla J. Delos Reyes et al 2018  Earth Science Reviews vol 177","May 15 to December 4, 1754 ""> 100 explosions; ~150 million m3 of ejecta; eruption column ~40 km; ash drifted W, SW & S resulting in collapse of houses with ~1.1 m volcanic
deposits; deposits covered an area of 400 km2 and reached Manila but thickness undetermined; pyroclastic density currents affected entire volcano island, crossing the lake and affected shoreline communities but majority towards W & SW; complete devastation of Old Taal, Old Lipa, Sala and Old Tanauan; damming of Pansipit River causing flooding in Old Lipa and Old Tanauan;""",Does not include areas which experienced minor ash fall.,,1754-05-13,1754-05-13,05176e259cc24449a22a34eb0f8ebfd6
326,Volcanic Activity (General),1814 Mayon Eruption,"February 1, 1814",13.257,123.685,Albay,Earthquake (Ground Movement)|Ash Fall|Pyroclastic Flow|Lava Flow|Severe Weather,Cagsawa Church,Warning from Church Bell,"Locals in 1772 had asked Governor General to relocate their towns of  Cagsawa and Budiao to where Daraga is now, however the plan was not implemented.",,,,,1200,,,,,,,Many,,Severe,,,,,,,,,,,"Fr. Francisco Aragoneses, parish priest of Cagsawa and Budiao asked donations from good hearted people from the capital city Manila, but these reached the victims only until several months later. The local authorities had already decided to relocated the survivors in a place they could both insure their safety and provide them their good land where they once more put up their houses and till the land.",,,,,,,,,,,,,,Daraga was chosen as the best place to relocate the victims.,,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, Volcan de Albay by Enrique Abella Casariego, Cayetano Sanchez OFM. ""A Town Called Daraga"". DPI Bulletin Vol. I No. 7. 7 September 1976. Text in blog https://orgolyo.blogspot.com/2015/10/tragic-mistake-on-february-1-1814.html) ","February 1-15, 1814 ""A great earthquake was felt followed by loud thunders. It kept on throwing lava violently, when the cloud slowly extended, darkening the earth and setting fire to the atmosphere. From the earth you could see lightning and sparks coming out and crossing with each other, composing a terrifying tempest. This was immediately followed by such a terrible rain of wide lit rocks that destroyed and set fire to all they found in their way. Short after smaller stones, sand and ash fell, lasting for longer than three hours and the darkness at least for five hours. It burnt and destroyed entirely the villages""","Camalig, Cagsawaa and Budiao, half of Albay and Guinobatan and to a lesser extent Bulusan Does not include areas which experienced minor ash fall.",,1814-02-01,1814-02-01,2b06a54147854e4f85d5be16bc90bb19
327,Volcanic Activity (General),1911 Taal Eruption,1911-01-30 00:00:00,14.002,120.993, Batangas,Earthquake (Ground Movement)|Tsunami|Ash Fall|Pyroclastic Flow,"Manila Observatory, Royal Meteorological Society, Bureau of Science","995 seismic disturbances - up to intensity IV, Iminent volcanic eruption - advisory to evacuate and camp in open grounds",,,,Local motorboats of fishermen,13,1335,199,Many,,Very many,,Very few,543,,Severe,0.13,Damaged,Damaged,Damaged,Damaged,Damaged,,,Damaged,,"Provincial Government under the American Regime, Philippine Constabulary, Philippine General Hospital, Army Hospital, Batangas Schools Officials","US Army Burial Corps, US Army Signal Corps, America Treasury of Batangas, Red Cross",,,,,,,,,Donated,,,,"1914 there was a “seismic and geophysic station at Ambulong, Taal” By the 1920s scientists of the Weather Bureau were observing volcanic activities not only of Taal in Batangas but also of Bulusan in Sorsogon and Mayon in Albay, using ambulant seismic instruments.",,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, National Geographic Vol 23 No 4 April 1912, A synthesis and review of historical eruptions at Taal Volcano, Southern
Luzon, Philippines, Perla J. Delos Reyes et al 2018  Earth Science Reviews vol 177, Disasters as Contingent Events: Volcanic Eruptions, State Advisories, and Public Participation in the Twentieth-century Philippines Filomeno V. Aguilar Jr. Philippine Studies: Historical and Ethnographic Viewpoints Volume 64 Numbers 3-4 September-December 2016 pp. 593-624","January 27 to February 8, 1911 ""Volume of ejecta ~80 million m3; pyroclastic density current affected 15 km of land including entire TVI, Talisay and other lakeshore barrios W of TVI; TF
~25–80 cm thick that affected entire TVI and towns N–NW–W–SW of the island (Talisay, Laurel, Tagaytay, Agoncillo) & can be seen 400 km away from Taal; accretionary lapilli was observed; fissures at Lemery & Taal; explosions heard in Manila (60 km away); 1335 fatalities; damage to flora & fauna""","Talisay, San Nicolas, Laurel, Agoncillo. Does not include areas which experienced minor ash fall. The 1911 eruption of Taal serves as the worst case scenario eruption for the volcano. ""On 28 January morning, the American who worked as tourist guide to the volcano had cabled the Bureau of Science that Taal was in eruption (Worcester 2012, 334). “Meanwhile various other telegrams had been received at Manila, stating that a huge column of black ‘smoke’ had been pouring out of the crater since early morning, and that sinister subterranean umblings were causing panic among the people of the neighboring towns” (ibid.). Given the lament of Fr. Saderra Masó, apparently no one in the colonial government took notice of the telegrams that were sent at least two days prior to the worst explosion. The information sent to the Bureau of Science would appear not to have reached the Weather Bureau, and neither did the latter warn the public despite the series of earthquakes its observatory had recorded and traced to the region of Taal days before the eruption.""",,1911-01-30,1911-01-30,939688be9b4e40559c2603cbbe18cd2b
328,Volcanic Activity (General),1951 Hibok Hibok Eruption,1951-12-04 00:00:00,9.203,124.673,"Mambajao, Camiguin",Earthquake (Ground Movement)|Ash Fall|Pyroclastic Flow|Lava Flow|Severe Weather,"Committee on Volcanology of the Department of Agriculture and Natural Resources,  Weather Bureau and Bureau of Mines",,"1950 Recommendations: Permanent evacuation within 2 km from crater especially Sitios of Itum, Kanangkaan, Ilihan, Catubli, and Sibato. Temporary evacuation beyon 2 km of NE quadrant of the volcano.",,,,11,500,,1500,,65000,,20000,Many,,Severe,Severe,,,,,,,,,1000000,"Provincial Government, Philippine Constabulary, Philippine General Hospital, Army Hospital, Batangas Schools Officials, Committe on Volcanology of the Department of Agriculture and Natural Resources,  Weather Bureau and Bureau of Mines, National Research Council-UP",,,,,,,,,,,150000,,,"Establishment of Philippine Volcanological Commission (later PHIVOLCS) and an volcano observatory station at Brgy Quiboro, Mambajao. Republic Act 766 creating the Commission on Volcanology was signed into law on 20 June 1952",,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, Lawrence Journal-World December 4 and 11 1951, https://www.youtube.com/watch?v=j_pTwnURbk4&feature=youtu.be , The calamities of 1951 and the president's action-- The Freeman January 5 2015, Time Magazine December 17 1951--The Philippines:Tragedy at Hibok-Hibok, A preliminary report on the recent eruptions of Hibok-hibok volcano Camuguin Island Philippines by the Philippine Geodetic and Geophysical Institute 1952, Disasters as Contingent Events: Volcanic Eruptions, State Advisories, and Public Participation in the Twentieth-century Philippines Filomeno V. Aguilar Jr. Philippine Studies: Historical and Ethnographic Viewpoints Volume 64 Numbers 3-4 September-December 2016 pp. 593-624","Activity of the Hibok-Hibok from September 1, 1948 to July 16, 1953, resulted in a series of deaths and damages but the December 1951 eruptions resulted in the most casualties and widest scope of destruction. The initial eruption in 1948 was a lava flow and dammed Kanangkaan Valley and the 1949 activity shifted to dark heavy, hot ash clouds from the new Itum crater where only 2 men were killed and tillable land in this area was destroyed. The 1950 eruption of some ash and minor ejecta caused casualties because the locals had become accustomed to and unperturbed by the activity of the volcano and have ventured to cultivate lands close to it as well as carry on with their daily lives, in addition to the topography of the area that localized the effects of the blast. Thus, being accustomed to minor volcanic acitivity, having topography which would direct volcanic material to towns downslope, plus and unexpecting a strong and very explosive eruption, The 1951 activity caused a widespread destruction from hot glowing pyroclastic flows the buried the town of Mambajao.",Does not include areas which experienced minor ash fall.,,1951-12-04,1951-12-04,1932c37a6b954a81b10b4be90f093675
329,Volcanic Activity (General),1965 Taal Eruption,1965-09-28 00:00:00,14.002,120.993,Batangas,Earthquake (Ground Movement)|Tsunami|Ash Fall|Pyroclastic Flow|Lava Flow,Philippine Volcanological Commission,,,,,,13,355 or 1500,,138,,30000,,8200,Few,,Limited,Damaged,,,,,,,,,500000,"(Office of the President orders mobilization of all government agencies to give fullest assistance) National, Provincial, and Local Governments, Armed Forces of the Philippines, Philppine National Red Cross, Social Welfare Administration,  ",United Nations Children’s Emergency Fund ,,,,,,,,,,,,,USGS proposes development program for the Philippine Commission of Volcanology and establishment of a permanent Taal Volcano Observatory,,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, Phivolcs, https://www.youtube.com/watch?v=izBQ2wU-FNU,  http://www.officialgazette.gov.ph/1965/10/25/official-week-in-review-september-26-%E2%94%80-october-2-1965/ , Sarasota Herald Tribune September 29, 1965), US Department of the Interior Geological Survey report Proposed Development Program for the Philippine Commission on Volcanology April 1966)","After a 54 year period of quiescence, a moderately violent phreatomagmatic explosive eruption of Taal Volcano occured in 1965. The main phreatic explosions, which were preceded by ejection of basaltic spatter, opened a new crater 1.5 kilometers long and 0.3 kilometer wide on the southwest side of Volcano Island in Lake Taal. Eruptive Characteristics: Flank (excentric) vent, New island formation, Crater lake eruption, Explosive eruption, Pyroclastic flow(s), Phreatic explosion(s), Fatalities, Damage (land, property, etc.), Tsunami (giant sea waves). Area of Activity: SW flank (near Mt. Tabaro). ""Pyroclastic density currents affected S of TVI from Balantoc (W) to Calauit (E), lakeshore barrios W of the island (from Gulod to Bilibinwang); volcanic material deposited 20–50 cm as far as 60 km, affected entire volcano island and towns S-SW of Taal; accretionary lapilli observed; 40 million m3 of ejecta covering 60 square km; 200 fatalities; volcano island formed a tuff cone; impact to houses & vegetation due to ash deposition."" Ashfall was said to have reached Metro Manila. Local news papers report 1500 deaths, international database NOAA cites only 355 deaths.","Talisay, San Nicolas, Laurel, Agoncillo. Presidential Committee on Relief and Rehabilitation to discuss relief and rescue measures for the people threatened by the eruption. 1) Designates the towns of Talisay and San Nicolas as debarkation points for residents fleeing the volcano island by banca; 2) Names the towns of Taal, Tanauan, Talisay, Agoncillo, Lemery, Alitagtag, Lipa, Bauan, Cuenca, Sta. Teresita and Mataas na Kahoy—all in Batangas as sites of evacuation camps; 3) Assign 40 AFP trucks for evacuation purposes; 4) Designates San Pablo City and Quezon province as alternate evacuation areas in cases the situation gets worse; 5) Assigns the following agencies to assume responsibility for the various task: a. Transportation—AFP, Philippine Navy and PACD; b. Sanitation—Department of Health, Social Welfare Administration and Philippine National Red Cross c. Security—PC and local police forces d. Food—NAMARCQ, SWA, RCA, and PNRC e. Shelter—Department of Education and Department of Public Works.",,1965-09-28,1965-09-28,66e69b737e574996b6fc1180c3be0c80
